time,x_fork,y_fork,z_fork,qx_fork,qy_fork,qz_fork,qw_fork,x_knife,y_knife,z_knife,qx_knife,qy_knife,qz_knife,qw_knife,x_fork_f,y_fork_f,z_fork_f,x_knife_f,y_knife_f,z_knife_f
0.000000000000000000e+00,1.270630210638046265e-01,2.570329792797565460e-02,-7.900038361549377441e-02,-1.559509546495974064e-04,3.872424662113189697e-01,6.833494305610656738e-01,6.189320087432861328e-01,8.454241752624511719e-01,3.386341035366058350e-02,-3.134755417704582214e-02,7.549703121185302734e-02,-4.343183934688568115e-01,-6.754366755485534668e-01,5.911455154418945312e-01,7.299999999999999545e-02,-1.829999999999999960e-01,5.600000000000000117e-02,-1.059999999999999970e-01,-1.600000000000000033e-02,8.000000000000000167e-02
1.011252403259277344e-02,1.259869337081909180e-01,2.687850967049598694e-02,-7.804313302040100098e-02,1.250227168202400208e-02,3.772003054618835449e-01,6.828286647796630859e-01,6.255466938018798828e-01,8.455284833908081055e-01,3.414167091250419617e-02,-3.132388368248939514e-02,8.191070705652236938e-02,-4.281135499477386475e-01,-6.784144639968872070e-01,5.914078950881958008e-01,7.699999999999999900e-02,-1.819999999999999951e-01,6.300000000000000044e-02,-9.800000000000000377e-02,-2.000000000000000042e-02,7.799999999999999989e-02
2.005863189697265625e-02,1.252227723598480225e-01,2.849092520773410797e-02,-7.679626345634460449e-02,2.777310647070407867e-02,3.662164509296417236e-01,6.797914505004882812e-01,6.348209977149963379e-01,8.454422950744628906e-01,3.449505567550659180e-02,-3.079018555581569672e-02,8.808387815952301025e-02,-4.254360198974609375e-01,-6.775075793266296387e-01,5.934888720512390137e-01,8.400000000000000522e-02,-1.809999999999999942e-01,6.900000000000000577e-02,-8.999999999999999667e-02,-2.299999999999999961e-02,7.399999999999999634e-02
3.006792068481445312e-02,1.242993399500846863e-01,3.062002174556255341e-02,-7.570317387580871582e-02,3.766175359487533569e-02,3.574637174606323242e-01,6.765248179435729980e-01,6.427406668663024902e-01,8.456223011016845703e-01,3.354154899716377258e-02,-3.079761750996112823e-02,9.475918114185333252e-02,-4.255726635456085205e-01,-6.710554957389831543e-01,5.996608734130859375e-01,8.699999999999999400e-02,-1.799999999999999933e-01,7.199999999999999456e-02,-8.200000000000000344e-02,-2.500000000000000139e-02,7.099999999999999367e-02
4.013609886169433594e-02,1.233217865228652954e-01,3.251162171363830566e-02,-7.439234107732772827e-02,4.283313453197479248e-02,3.547582030296325684e-01,6.732348799705505371e-01,6.473536491394042969e-01,8.455071449279785156e-01,3.449170663952827454e-02,-3.026833012700080872e-02,9.177517145872116089e-02,-4.251949191093444824e-01,-6.719976067543029785e-01,5.993378162384033203e-01,8.799999999999999489e-02,-1.789999999999999925e-01,7.599999999999999811e-02,-7.399999999999999634e-02,-2.699999999999999969e-02,6.700000000000000400e-02
5.013537406921386719e-02,1.222019195556640625e-01,3.521027043461799622e-02,-7.340393215417861938e-02,4.488765075802803040e-02,3.536127507686614990e-01,6.725659966468811035e-01,6.485353708267211914e-01,8.459287881851196289e-01,3.463495522737503052e-02,-2.984704822301864624e-02,9.468515962362289429e-02,-4.205059707164764404e-01,-6.730790138244628906e-01,6.009777188301086426e-01,8.999999999999999667e-02,-1.799999999999999933e-01,8.000000000000000167e-02,-6.400000000000000133e-02,-3.099999999999999978e-02,6.300000000000000044e-02
6.008386611938476562e-02,1.216971129179000854e-01,3.778949752449989319e-02,-7.175702601671218872e-02,4.936179146170616150e-02,3.487511277198791504e-01,6.712750196456909180e-01,6.521702408790588379e-01,8.459828495979309082e-01,3.512295335531234741e-02,-2.918936498463153839e-02,9.691458195447921753e-02,-4.160526990890502930e-01,-6.730809807777404785e-01,6.037133932113647461e-01,8.999999999999999667e-02,-1.799999999999999933e-01,8.200000000000000344e-02,-5.800000000000000294e-02,-3.500000000000000333e-02,5.899999999999999689e-02
7.016205787658691406e-02,1.212167143821716309e-01,4.096506908535957336e-02,-7.014586031436920166e-02,5.518136918544769287e-02,3.467298448085784912e-01,6.680634617805480957e-01,6.560675501823425293e-01,8.459680080413818359e-01,3.589482232928276062e-02,-2.864152379333972931e-02,1.008767858147621155e-01,-4.126839339733123779e-01,-6.753711700439453125e-01,6.028181910514831543e-01,9.199999999999999845e-02,-1.789999999999999925e-01,8.400000000000000522e-02,-5.600000000000000117e-02,-3.599999999999999728e-02,5.500000000000000028e-02
8.009529113769531250e-02,1.208144873380661011e-01,4.415362328290939331e-02,-6.859345734119415283e-02,6.196684762835502625e-02,3.404527604579925537e-01,6.655349731445312500e-01,6.612981557846069336e-01,8.467115163803100586e-01,3.733153641223907471e-02,-2.764769271016120911e-02,1.045512631535530090e-01,-4.008031487464904785e-01,-6.711631417274475098e-01,6.147893071174621582e-01,9.299999999999999933e-02,-1.799999999999999933e-01,8.500000000000000611e-02,-5.399999999999999939e-02,-3.699999999999999817e-02,5.500000000000000028e-02
9.017872810363769531e-02,1.205498278141021729e-01,4.804547503590583801e-02,-6.705386191606521606e-02,6.762205809354782104e-02,3.351241946220397949e-01,6.614370942115783691e-01,6.675478219985961914e-01,8.466548323631286621e-01,3.837792575359344482e-02,-2.689324691891670227e-02,1.078479886054992676e-01,-3.909561634063720703e-01,-6.746217012405395508e-01,6.167719364166259766e-01,9.400000000000000022e-02,-1.809999999999999942e-01,8.599999999999999312e-02,-5.199999999999999761e-02,-3.599999999999999728e-02,5.500000000000000028e-02
1.001718044281005859e-01,1.201714500784873962e-01,5.176262184977531433e-02,-6.538118422031402588e-02,7.675331830978393555e-02,3.244362175464630127e-01,6.596540808677673340e-01,6.735774278640747070e-01,8.467444181442260742e-01,3.953889757394790649e-02,-2.618541009724140167e-02,1.156238242983818054e-01,-3.816567659378051758e-01,-6.787225604057312012e-01,6.166887283325195312e-01,9.299999999999999933e-02,-1.799999999999999933e-01,8.699999999999999400e-02,-5.099999999999999672e-02,-3.599999999999999728e-02,5.500000000000000028e-02
1.101760864257812500e-01,1.207308545708656311e-01,5.626703798770904541e-02,-6.384857743978500366e-02,8.595459908246994019e-02,3.237741589546203613e-01,6.565819978713989258e-01,6.757826805114746094e-01,8.469529151916503906e-01,4.146149009466171265e-02,-2.539866976439952850e-02,1.222363188862800598e-01,-3.662666082382202148e-01,-6.809319853782653809e-01,6.222850680351257324e-01,9.199999999999999845e-02,-1.819999999999999951e-01,8.599999999999999312e-02,-5.000000000000000278e-02,-3.599999999999999728e-02,5.600000000000000117e-02
1.201348304748535156e-01,1.205740794539451599e-01,6.048614531755447388e-02,-6.162001192569732666e-02,9.208459407091140747e-02,3.127917647361755371e-01,6.545095443725585938e-01,6.821283102035522461e-01,8.459869623184204102e-01,4.585681483149528503e-02,-2.430853806436061859e-02,1.046623885631561279e-01,-3.672854900360107422e-01,-6.917815208435058594e-01,6.128503680229187012e-01,9.099999999999999756e-02,-1.809999999999999942e-01,8.699999999999999400e-02,-5.099999999999999672e-02,-3.599999999999999728e-02,5.600000000000000117e-02
1.300592422485351562e-01,1.212403178215026855e-01,6.558436155319213867e-02,-5.994909256696701050e-02,8.994133770465850830e-02,3.149387538433074951e-01,6.460332274436950684e-01,6.894673705101013184e-01,8.456078767776489258e-01,4.841297864913940430e-02,-2.341516688466072083e-02,1.122050285339355469e-01,-3.562721610069274902e-01,-6.906732916831970215e-01,6.192339658737182617e-01,9.099999999999999756e-02,-1.799999999999999933e-01,8.599999999999999312e-02,-5.000000000000000278e-02,-3.799999999999999906e-02,5.600000000000000117e-02
1.400673389434814453e-01,1.217303723096847534e-01,6.995780020952224731e-02,-5.772599205374717712e-02,9.917397052049636841e-02,3.096981644630432129e-01,6.436026692390441895e-01,6.928399801254272461e-01,8.450507521629333496e-01,5.111395567655563354e-02,-2.222446724772453308e-02,1.205014288425445557e-01,-3.458352982997894287e-01,-6.915913820266723633e-01,6.225582361221313477e-01,9.199999999999999845e-02,-1.809999999999999942e-01,8.500000000000000611e-02,-5.199999999999999761e-02,-3.599999999999999728e-02,5.600000000000000117e-02
1.501715183258056641e-01,1.218688338994979858e-01,7.438388466835021973e-02,-5.542455241084098816e-02,1.048142388463020325e-01,2.969347834587097168e-01,6.432061791419982910e-01,6.979466080665588379e-01,8.440063595771789551e-01,5.414562672376632690e-02,-2.111323550343513489e-02,1.277528256177902222e-01,-3.418877720832824707e-01,-6.821069717407226562e-01,6.336577534675598145e-01,9.199999999999999845e-02,-1.799999999999999933e-01,8.500000000000000611e-02,-5.099999999999999672e-02,-3.599999999999999728e-02,5.600000000000000117e-02
1.600966453552246094e-01,1.223026737570762634e-01,7.836554199457168579e-02,-5.254356190562248230e-02,1.102955117821693420e-01,2.859472334384918213e-01,6.433625221252441406e-01,7.015367746353149414e-01,8.435289859771728516e-01,5.831597372889518738e-02,-1.996764726936817169e-02,1.378498226404190063e-01,-3.287352621555328369e-01,-6.831941008567810059e-01,6.373198032379150391e-01,9.400000000000000022e-02,-1.799999999999999933e-01,8.400000000000000522e-02,-5.000000000000000278e-02,-3.699999999999999817e-02,5.600000000000000117e-02
1.701271533966064453e-01,1.234825849533081055e-01,8.291415125131607056e-02,-5.050467699766159058e-02,1.192776933312416077e-01,2.810774743556976318e-01,6.405751705169677734e-01,7.045791149139404297e-01,8.427841663360595703e-01,6.353288143873214722e-02,-1.872559264302253723e-02,1.505024135112762451e-01,-3.146489262580871582e-01,-6.802069544792175293e-01,6.447198390960693359e-01,9.500000000000000111e-02,-1.799999999999999933e-01,8.400000000000000522e-02,-5.000000000000000278e-02,-3.599999999999999728e-02,5.500000000000000028e-02
1.800966262817382812e-01,1.245897486805915833e-01,8.623944222927093506e-02,-4.718718677759170532e-02,1.211676746606826782e-01,2.654909789562225342e-01,6.339067816734313965e-01,7.162368297576904297e-01,8.420553803443908691e-01,6.825933605432510376e-02,-1.706367172300815582e-02,1.682801991701126099e-01,-2.965611219406127930e-01,-6.830320358276367188e-01,6.459106206893920898e-01,9.500000000000000111e-02,-1.799999999999999933e-01,8.400000000000000522e-02,-4.700000000000000011e-02,-3.699999999999999817e-02,5.500000000000000028e-02
1.901490688323974609e-01,1.254310309886932373e-01,9.029626846313476562e-02,-4.485518485307693481e-02,1.271355599164962769e-01,2.580206990242004395e-01,6.339850425720214844e-01,7.178613543510437012e-01,8.416146636009216309e-01,7.586076855659484863e-02,-1.554009225219488144e-02,1.741233617067337036e-01,-2.714610993862152100e-01,-6.720973849296569824e-01,6.665396690368652344e-01,9.500000000000000111e-02,-1.799999999999999933e-01,8.400000000000000522e-02,-4.700000000000000011e-02,-3.699999999999999817e-02,5.500000000000000028e-02
2.001523971557617188e-01,1.258583217859268188e-01,9.569154679775238037e-02,-4.264541715383529663e-02,1.339664161205291748e-01,2.450910210609436035e-01,6.459605097770690918e-01,7.104353904724121094e-01,8.408066034317016602e-01,8.212415874004364014e-02,-1.362669374793767929e-02,1.866743564605712891e-01,-2.593721747398376465e-01,-6.697962284088134766e-01,6.702625751495361328e-01,9.400000000000000022e-02,-1.799999999999999933e-01,8.300000000000000433e-02,-4.700000000000000011e-02,-3.799999999999999906e-02,5.500000000000000028e-02
2.101476192474365234e-01,1.276350319385528564e-01,1.004991009831428528e-01,-4.052658379077911377e-02,1.421013623476028442e-01,2.373593300580978394e-01,6.472086310386657715e-01,7.103441357612609863e-01,8.397052288055419922e-01,8.859572559595108032e-02,-1.195354573428630829e-02,2.067558020353317261e-01,-2.443905621767044067e-01,-6.555251479148864746e-01,6.839679479598999023e-01,9.500000000000000111e-02,-1.799999999999999933e-01,8.400000000000000522e-02,-4.900000000000000189e-02,-3.799999999999999906e-02,5.399999999999999939e-02
