time,x_fork,y_fork,z_fork,qx_fork,qy_fork,qz_fork,qw_fork,x_knife,y_knife,z_knife,qx_knife,qy_knife,qz_knife,qw_knife,x_fork_f,y_fork_f,z_fork_f,x_knife_f,y_knife_f,z_knife_f
0.000000000000000000e+00,1.412507742643356323e-01,1.954387873411178589e-02,-9.102966636419296265e-02,-4.898228496313095093e-02,3.949881494045257568e-01,6.875428557395935059e-01,6.073465943336486816e-01,8.866387009620666504e-01,3.409571945667266846e-02,-5.216250941157341003e-02,4.692148044705390930e-02,-4.300717711448669434e-01,-6.697685718536376953e-01,6.035286784172058105e-01,2.900000000000000147e-02,-1.670000000000000095e-01,2.599999999999999881e-02,-4.299999999999999656e-02,-1.499999999999999944e-02,4.100000000000000172e-02
1.002001762390136719e-02,1.412926167249679565e-01,1.960731297731399536e-02,-9.110981971025466919e-02,-4.948334768414497375e-02,3.949049115180969238e-01,6.871246695518493652e-01,6.078332066535949707e-01,8.864619731903076172e-01,3.394585102796554565e-02,-5.192919820547103882e-02,4.841937497258186340e-02,-4.334101378917694092e-01,-6.691375374794006348e-01,6.017194390296936035e-01,2.999999999999999889e-02,-1.670000000000000095e-01,2.599999999999999881e-02,-4.200000000000000261e-02,-1.499999999999999944e-02,4.000000000000000083e-02
1.993680000305175781e-02,1.412013620138168335e-01,1.956150308251380920e-02,-9.103055298328399658e-02,-4.896779730916023254e-02,3.946757912635803223e-01,6.877993941307067871e-01,6.072604060173034668e-01,8.863410949707031250e-01,3.398569300770759583e-02,-5.183203890919685364e-02,4.869421571493148804e-02,-4.348089098930358887e-01,-6.695348024368286133e-01,6.002442836761474609e-01,2.999999999999999889e-02,-1.670000000000000095e-01,2.599999999999999881e-02,-4.299999999999999656e-02,-1.499999999999999944e-02,4.100000000000000172e-02
3.005433082580566406e-02,1.413505524396896362e-01,1.965679787099361420e-02,-9.102190285921096802e-02,-4.945622012019157410e-02,3.964072763919830322e-01,6.870530843734741211e-01,6.069377064704895020e-01,8.865730166435241699e-01,3.402297943830490112e-02,-5.213478952646255493e-02,4.671014472842216492e-02,-4.302322566509246826e-01,-6.697725653648376465e-01,6.034261584281921387e-01,2.999999999999999889e-02,-1.680000000000000104e-01,2.599999999999999881e-02,-4.200000000000000261e-02,-1.499999999999999944e-02,4.100000000000000172e-02
3.993964195251464844e-02,1.412095427513122559e-01,1.954478584229946136e-02,-9.101553261280059814e-02,-4.899998381733894348e-02,3.947341144084930420e-01,6.879980564117431641e-01,6.069948673248291016e-01,8.864789605140686035e-01,3.397738561034202576e-02,-5.190031975507736206e-02,4.837799072265625000e-02,-4.339692592620849609e-01,-6.690676212310791016e-01,6.013973951339721680e-01,2.999999999999999889e-02,-1.670000000000000095e-01,2.599999999999999881e-02,-4.100000000000000172e-02,-1.600000000000000033e-02,4.100000000000000172e-02
4.998350143432617188e-02,1.412128359079360962e-01,1.957754418253898621e-02,-9.103181958198547363e-02,-4.896817356348037720e-02,3.952623605728149414e-01,6.876810193061828613e-01,6.070128679275512695e-01,8.865343928337097168e-01,3.408287093043327332e-02,-5.196465924382209778e-02,4.777505621314048767e-02,-4.327908754348754883e-01,-6.688251495361328125e-01,6.025633811950683594e-01,2.900000000000000147e-02,-1.680000000000000104e-01,2.500000000000000139e-02,-4.200000000000000261e-02,-1.600000000000000033e-02,4.100000000000000172e-02
5.996012687683105469e-02,1.412825733423233032e-01,1.958190277218818665e-02,-9.101606905460357666e-02,-4.893211275339126587e-02,3.965004682540893555e-01,6.878454089164733887e-01,6.060212850570678711e-01,8.866739273071289062e-01,3.397805243730545044e-02,-5.196516215801239014e-02,4.852101579308509827e-02,-4.322873055934906006e-01,-6.694334745407104492e-01,6.021896004676818848e-01,2.900000000000000147e-02,-1.680000000000000104e-01,2.599999999999999881e-02,-4.299999999999999656e-02,-1.700000000000000122e-02,4.200000000000000261e-02
7.001304626464843750e-02,1.412441581487655640e-01,1.956233941018581390e-02,-9.104734659194946289e-02,-4.911080375313758850e-02,3.954739570617675781e-01,6.873883008956909180e-01,6.071950197219848633e-01,8.866513967514038086e-01,3.405622392892837524e-02,-5.223039910197257996e-02,4.728881642222404480e-02,-4.287712872028350830e-01,-6.699656248092651367e-01,6.042062044143676758e-01,2.999999999999999889e-02,-1.670000000000000095e-01,2.500000000000000139e-02,-4.200000000000000261e-02,-1.700000000000000122e-02,4.200000000000000261e-02
8.000802993774414062e-02,1.412593573331832886e-01,1.953766308724880219e-02,-9.102925658226013184e-02,-4.930555820465087891e-02,3.958436548709869385e-01,6.881281137466430664e-01,6.060994267463684082e-01,8.865696191787719727e-01,3.385684639215469360e-02,-5.208478868007659912e-02,4.789845272898674011e-02,-4.298249483108520508e-01,-6.701341867446899414e-01,6.032217741012573242e-01,2.999999999999999889e-02,-1.660000000000000087e-01,2.599999999999999881e-02,-4.200000000000000261e-02,-1.600000000000000033e-02,4.100000000000000172e-02
9.002828598022460938e-02,1.413193792104721069e-01,1.935934275388717651e-02,-9.115733206272125244e-02,-5.271445214748382568e-02,3.938954770565032959e-01,6.903297305107116699e-01,6.045762896537780762e-01,8.867872357368469238e-01,3.406619280576705933e-02,-5.197726190090179443e-02,4.762056097388267517e-02,-4.325855672359466553e-01,-6.704150438308715820e-01,6.009539961814880371e-01,2.800000000000000058e-02,-1.670000000000000095e-01,2.500000000000000139e-02,-4.200000000000000261e-02,-1.499999999999999944e-02,4.100000000000000172e-02
9.997105598449707031e-02,1.412361562252044678e-01,1.956606842577457428e-02,-9.103970974683761597e-02,-4.865498840808868408e-02,3.961129486560821533e-01,6.872941851615905762e-01,6.069216728210449219e-01,8.865978121757507324e-01,3.399628400802612305e-02,-5.195336043834686279e-02,4.827561229467391968e-02,-4.325954318046569824e-01,-6.701015233993530273e-01,6.012442708015441895e-01,2.999999999999999889e-02,-1.670000000000000095e-01,2.500000000000000139e-02,-4.100000000000000172e-02,-1.499999999999999944e-02,4.100000000000000172e-02
1.101057529449462891e-01,1.412667781114578247e-01,1.956168189644813538e-02,-9.104938805103302002e-02,-4.917402192950248718e-02,3.957636356353759766e-01,6.873397827148437500e-01,6.070560216903686523e-01,8.866395354270935059e-01,3.397024050354957581e-02,-5.220175161957740784e-02,4.650409147143363953e-02,-4.286564886569976807e-01,-6.703801751136779785e-01,6.038886904716491699e-01,2.999999999999999889e-02,-1.660000000000000087e-01,2.599999999999999881e-02,-4.100000000000000172e-02,-1.700000000000000122e-02,4.100000000000000172e-02
1.199896335601806641e-01,1.412580460309982300e-01,1.954581774771213531e-02,-9.103299677371978760e-02,-4.851051792502403259e-02,3.968645036220550537e-01,6.873423457145690918e-01,6.063874959945678711e-01,8.865738511085510254e-01,3.395205736160278320e-02,-5.193544551730155945e-02,4.849800467491149902e-02,-4.330541193485260010e-01,-6.694300770759582520e-01,6.016439199447631836e-01,2.999999999999999889e-02,-1.670000000000000095e-01,2.500000000000000139e-02,-4.200000000000000261e-02,-1.600000000000000033e-02,4.100000000000000172e-02
1.301264762878417969e-01,1.412162631750106812e-01,1.953384280204772949e-02,-9.098780155181884766e-02,-4.828575626015663147e-02,3.947468101978302002e-01,6.877447366714477539e-01,6.073307991027832031e-01,8.866194486618041992e-01,3.399182856082916260e-02,-5.198759958148002625e-02,4.812429472804069519e-02,-4.325248003005981445e-01,-6.693630218505859375e-01,6.021291017532348633e-01,3.099999999999999978e-02,-1.660000000000000087e-01,2.599999999999999881e-02,-4.200000000000000261e-02,-1.600000000000000033e-02,4.200000000000000261e-02
1.399736404418945312e-01,1.412647068500518799e-01,1.956266723573207855e-02,-9.102229028940200806e-02,-4.914835840463638306e-02,3.953967392444610596e-01,6.877020597457885742e-01,6.068870425224304199e-01,8.866141438484191895e-01,3.393833339214324951e-02,-5.192115530371665955e-02,4.865678399801254272e-02,-4.333377182483673096e-01,-6.696697473526000977e-01,6.011600494384765625e-01,2.900000000000000147e-02,-1.670000000000000095e-01,2.500000000000000139e-02,-4.299999999999999656e-02,-1.700000000000000122e-02,4.200000000000000261e-02
1.501262187957763672e-01,1.410888284444808960e-01,1.966165006160736084e-02,-9.114655107259750366e-02,-5.049107223749160767e-02,3.950270116329193115e-01,6.875804662704467773e-01,6.071552038192749023e-01,8.866130113601684570e-01,3.397409245371818542e-02,-5.188662186264991760e-02,4.860974475741386414e-02,-4.342284202575683594e-01,-6.695194840431213379e-01,6.006883382797241211e-01,3.099999999999999978e-02,-1.660000000000000087e-01,2.599999999999999881e-02,-4.200000000000000261e-02,-1.600000000000000033e-02,4.100000000000000172e-02
1.600060462951660156e-01,1.412531584501266479e-01,1.955380477011203766e-02,-9.102450311183929443e-02,-4.857205227017402649e-02,3.962254524230957031e-01,6.874317526817321777e-01,6.066991090774536133e-01,8.866165280342102051e-01,3.397721424698829651e-02,-5.216382816433906555e-02,4.649196192622184753e-02,-4.294609427452087402e-01,-6.701285839080810547e-01,6.035971045494079590e-01,2.999999999999999889e-02,-1.660000000000000087e-01,2.599999999999999881e-02,-4.200000000000000261e-02,-1.600000000000000033e-02,4.200000000000000261e-02
1.700999736785888672e-01,1.412417739629745483e-01,1.955737359821796417e-02,-9.101679176092147827e-02,-4.872343689203262329e-02,3.959835171699523926e-01,6.876320242881774902e-01,6.066178679466247559e-01,8.865129351615905762e-01,3.393635153770446777e-02,-5.197649821639060974e-02,4.838256537914276123e-02,-4.326505362987518311e-01,-6.690443158149719238e-01,6.023722290992736816e-01,2.999999999999999889e-02,-1.660000000000000087e-01,2.500000000000000139e-02,-4.299999999999999656e-02,-1.499999999999999944e-02,4.200000000000000261e-02
1.799778938293457031e-01,1.412494182586669922e-01,1.954837888479232788e-02,-9.099890291690826416e-02,-4.841823875904083252e-02,3.951849043369293213e-01,6.874182224273681641e-01,6.074050664901733398e-01,8.864129185676574707e-01,3.379577770829200745e-02,-5.225358530879020691e-02,4.719123244285583496e-02,-4.257768690586090088e-01,-6.716201901435852051e-01,6.044944524765014648e-01,2.999999999999999889e-02,-1.660000000000000087e-01,2.599999999999999881e-02,-4.200000000000000261e-02,-1.600000000000000033e-02,4.200000000000000261e-02
1.900868415832519531e-01,1.412645876407623291e-01,1.954559423029422760e-02,-9.103489667177200317e-02,-4.892886430025100708e-02,3.959717750549316406e-01,6.872683167457580566e-01,6.070211529731750488e-01,8.865574598312377930e-01,3.408763185143470764e-02,-5.211669579148292542e-02,4.754582792520523071e-02,-4.306123554706573486e-01,-6.694504618644714355e-01,6.034471988677978516e-01,2.999999999999999889e-02,-1.670000000000000095e-01,2.500000000000000139e-02,-4.399999999999999745e-02,-1.499999999999999944e-02,4.100000000000000172e-02
2.000052928924560547e-01,1.413090229034423828e-01,1.961952447891235352e-02,-9.111103415489196777e-02,-4.945679754018783569e-02,3.951112627983093262e-01,6.873658895492553711e-01,6.074284911155700684e-01,8.866693973541259766e-01,3.401366993784904480e-02,-5.197455361485481262e-02,4.827775433659553528e-02,-4.319716393947601318e-01,-6.694519519805908203e-01,6.024149656295776367e-01,2.999999999999999889e-02,-1.670000000000000095e-01,2.599999999999999881e-02,-4.200000000000000261e-02,-1.600000000000000033e-02,4.100000000000000172e-02
