time,x_fork,y_fork,z_fork,qx_fork,qy_fork,qz_fork,qw_fork,x_knife,y_knife,z_knife,qx_knife,qy_knife,qz_knife,qw_knife,x_fork_f,y_fork_f,z_fork_f,x_knife_f,y_knife_f,z_knife_f
0.000000000000000000e+00,1.380509734153747559e-01,2.822108753025531769e-02,-8.579251170158386230e-02,4.220911487936973572e-02,3.702757656574249268e-01,6.720145940780639648e-01,6.399301290512084961e-01,8.366025686264038086e-01,3.601762652397155762e-02,-2.662907727062702179e-02,1.549988985061645508e-01,-4.437197446823120117e-01,-6.480720043182373047e-01,5.992419719696044922e-01,5.099999999999999672e-02,-2.109999999999999931e-01,3.300000000000000155e-02,-3.300000000000000155e-02,-1.799999999999999864e-02,4.900000000000000189e-02
9.872198104858398438e-03,1.379993110895156860e-01,2.808462642133235931e-02,-8.587648719549179077e-02,4.066012799739837646e-02,3.716706931591033936e-01,6.718642711639404297e-01,6.393794417381286621e-01,8.362042307853698730e-01,3.611201420426368713e-02,-2.665820531547069550e-02,1.510670036077499390e-01,-4.460883140563964844e-01,-6.502200961112976074e-01,5.961524844169616699e-01,5.099999999999999672e-02,-2.109999999999999931e-01,3.400000000000000244e-02,-3.300000000000000155e-02,-1.799999999999999864e-02,4.900000000000000189e-02
2.000403404235839844e-02,1.380634605884552002e-01,2.822202816605567932e-02,-8.587381243705749512e-02,4.063786193728446960e-02,3.705546557903289795e-01,6.723815202713012695e-01,6.394850015640258789e-01,8.366636037826538086e-01,3.604479879140853882e-02,-2.664424479007720947e-02,1.555275619029998779e-01,-4.445766806602478027e-01,-6.479444503784179688e-01,5.986073017120361328e-01,5.099999999999999672e-02,-2.109999999999999931e-01,3.300000000000000155e-02,-3.300000000000000155e-02,-1.899999999999999953e-02,4.900000000000000189e-02
2.985715866088867188e-02,1.381899565458297729e-01,2.812484465539455414e-02,-8.587431162595748901e-02,4.010363295674324036e-02,3.713181614875793457e-01,6.728129386901855469e-01,6.386214494705200195e-01,8.366315364837646484e-01,3.604726493358612061e-02,-2.669331617653369904e-02,1.551338434219360352e-01,-4.444649815559387207e-01,-6.479089260101318359e-01,5.988308191299438477e-01,5.199999999999999761e-02,-2.099999999999999922e-01,3.400000000000000244e-02,-3.300000000000000155e-02,-1.799999999999999864e-02,4.900000000000000189e-02
3.998136520385742188e-02,1.380587220191955566e-01,2.815977856516838074e-02,-8.582613617181777954e-02,4.188582673668861389e-02,3.717760145664215088e-01,6.718596816062927246e-01,6.392439007759094238e-01,8.366400599479675293e-01,3.603550046682357788e-02,-2.662398666143417358e-02,1.550948619842529297e-01,-4.438022971153259277e-01,-6.478938460350036621e-01,5.993486046791076660e-01,5.099999999999999672e-02,-2.099999999999999922e-01,3.300000000000000155e-02,-3.200000000000000067e-02,-1.899999999999999953e-02,4.900000000000000189e-02
5.050969123840332031e-02,1.382580697536468506e-01,2.820006571710109711e-02,-8.573421835899353027e-02,4.336948692798614502e-02,3.727887868881225586e-01,6.706213951110839844e-01,6.398550868034362793e-01,8.361951112747192383e-01,3.593736141920089722e-02,-2.659536339342594147e-02,1.529745310544967651e-01,-4.439777731895446777e-01,-6.496309041976928711e-01,5.978814363479614258e-01,5.199999999999999761e-02,-2.109999999999999931e-01,3.400000000000000244e-02,-3.200000000000000067e-02,-2.000000000000000042e-02,5.000000000000000278e-02
5.990076065063476562e-02,1.381302922964096069e-01,2.809367701411247253e-02,-8.577239513397216797e-02,4.257564246654510498e-02,3.724033832550048828e-01,6.708565950393676758e-01,6.398863196372985840e-01,8.365780115127563477e-01,3.601521998643875122e-02,-2.661361359059810638e-02,1.546243876218795776e-01,-4.434595108032226562e-01,-6.482758522033691406e-01,5.993108153343200684e-01,5.199999999999999761e-02,-2.109999999999999931e-01,3.400000000000000244e-02,-3.300000000000000155e-02,-1.899999999999999953e-02,4.900000000000000189e-02
6.986212730407714844e-02,1.381039619445800781e-01,2.802101336419582367e-02,-8.577104657888412476e-02,4.238329082727432251e-02,3.719643056392669678e-01,6.714943647384643555e-01,6.394854187965393066e-01,8.365637063980102539e-01,3.599717840552330017e-02,-2.661815844476222992e-02,1.546407490968704224e-01,-4.435062408447265625e-01,-6.484122872352600098e-01,5.991244912147521973e-01,5.099999999999999672e-02,-2.109999999999999931e-01,3.300000000000000155e-02,-3.200000000000000067e-02,-2.000000000000000042e-02,5.000000000000000278e-02
8.005404472351074219e-02,1.381127238273620605e-01,2.801744453608989716e-02,-8.579111844301223755e-02,4.128876328468322754e-02,3.728886246681213379e-01,6.713439226150512695e-01,6.391764879226684570e-01,8.361832499504089355e-01,3.591576218605041504e-02,-2.659408003091812134e-02,1.530472934246063232e-01,-4.440908432006835938e-01,-6.497732996940612793e-01,5.976240634918212891e-01,5.099999999999999672e-02,-2.109999999999999931e-01,3.400000000000000244e-02,-3.200000000000000067e-02,-1.899999999999999953e-02,5.000000000000000278e-02
8.990001678466796875e-02,1.380078643560409546e-01,2.814349345862865448e-02,-8.582708984613418579e-02,4.087993130087852478e-02,3.697831928730010986e-01,6.730737686157226562e-01,6.391876935958862305e-01,8.366175293922424316e-01,3.604878857731819153e-02,-2.661692351102828979e-02,1.551187187433242798e-01,-4.441841840744018555e-01,-6.478766798973083496e-01,5.990779399871826172e-01,5.199999999999999761e-02,-2.109999999999999931e-01,3.300000000000000155e-02,-3.300000000000000155e-02,-2.000000000000000042e-02,4.900000000000000189e-02
